elapsed_s,timestamp,bus_voltage_mV,cell_voltage_mV,current_mA,shunt_uV,power_mW,ah_discharged,soc_pct
0.0,2026-04-01T17:55:18.595383,26558,3319.8,-1159.8,13922.5,30.8,0.0000,100.00
10.0,2026-04-01T17:55:28.604870,26542,3317.8,-1169.5,14040.0,31.0,0.0033,99.99
20.0,2026-04-01T17:55:38.614025,26527,3315.9,-1167.8,14017.5,31.0,0.0065,99.97
30.0,2026-04-01T17:55:48.627916,26505,3313.1,-1185.0,14157.5,31.3,0.0098,99.96
40.0,2026-04-01T17:55:58.635081,26473,3309.1,-1236.0,14837.5,32.8,0.0132,99.95
50.0,2026-04-01T17:56:08.648922,26478,3309.8,-1174.0,14092.5,31.1,0.0165,99.93
60.1,2026-04-01T17:56:18.656302,26463,3307.9,-1172.5,14075.0,31.0,0.0198,99.92
70.1,2026-04-01T17:56:28.661517,26451,3306.4,-1171.8,14067.5,31.0,0.0230,99.91
80.1,2026-04-01T17:56:38.667319,26446,3305.8,-1169.3,14035.0,30.9,0.0263,99.89
90.1,2026-04-01T17:56:48.675973,26426,3303.2,-1172.5,14075.0,31.0,0.0295,99.88
100.1,2026-04-01T17:56:58.687417,26412,3301.5,-1182.0,14190.0,31.2,0.0328,99.87
110.1,2026-04-01T17:57:08.697125,26411,3301.4,-1185.2,14227.5,31.3,0.0361,99.86
120.1,2026-04-01T17:57:18.707153,26397,3299.6,-1172.8,14077.5,31.0,0.0394,99.84
130.1,2026-04-01T17:57:28.715235,26386,3298.2,-1169.5,14040.0,30.9,0.0426,99.83
140.1,2026-04-01T17:57:38.726371,26375,3296.9,-1172.2,14072.5,30.9,0.0459,99.82
150.1,2026-04-01T17:57:48.736859,26368,3296.0,-1175.3,14110.0,31.0,0.0491,99.80
160.2,2026-04-01T17:57:58.746064,26355,3294.4,-1193.2,14325.0,31.5,0.0525,99.79
170.2,2026-04-01T17:58:08.757103,26347,3293.4,-1181.5,14185.0,31.1,0.0557,99.78
180.2,2026-04-01T17:58:18.763379,26348,3293.5,-1172.0,14070.0,30.9,0.0590,99.76
190.2,2026-04-01T17:58:28.773080,26331,3291.4,-1181.5,14185.0,31.1,0.0623,99.75
200.2,2026-04-01T17:58:38.781637,26333,3291.6,-1185.5,14232.5,31.2,0.0656,99.74
210.2,2026-04-01T17:58:48.791009,26328,3291.0,-1177.5,14135.0,31.0,0.0689,99.72
220.2,2026-04-01T17:58:58.800773,26328,3291.0,-1175.0,14105.0,30.9,0.0721,99.71
230.2,2026-04-01T17:59:08.811311,26322,3290.2,-1176.0,14117.5,31.0,0.0754,99.70
240.2,2026-04-01T17:59:18.822329,26317,3289.6,-1177.0,14130.0,31.0,0.0787,99.69
250.2,2026-04-01T17:59:28.833499,26311,3288.9,-1177.5,14135.0,31.0,0.0819,99.67
260.2,2026-04-01T17:59:38.841268,26302,3287.8,-1190.5,14292.5,31.3,0.0853,99.66
270.3,2026-04-01T17:59:48.851853,26300,3287.5,-1176.2,14120.0,30.9,0.0885,99.65
280.3,2026-04-01T17:59:58.859828,26300,3287.5,-1174.2,14097.5,30.9,0.0918,99.63
290.3,2026-04-01T18:00:08.869221,26291,3286.4,-1182.5,14195.0,31.0,0.0951,99.62
300.3,2026-04-01T18:00:18.878377,26285,3285.6,-1173.8,14090.0,30.9,0.0983,99.61
310.3,2026-04-01T18:00:28.886574,26290,3286.2,-1184.0,14215.0,31.1,0.1016,99.59
320.3,2026-04-01T18:00:38.895604,26285,3285.6,-1180.2,14170.0,31.0,0.1049,99.58
330.3,2026-04-01T18:00:48.907593,26277,3284.6,-1186.0,14237.5,31.2,0.1082,99.57
340.3,2026-04-01T18:00:58.917647,26273,3284.1,-1181.5,14185.0,31.0,0.1115,99.55
350.3,2026-04-01T18:01:08.927406,26267,3283.4,-1176.8,14127.5,30.9,0.1148,99.54
360.3,2026-04-01T18:01:18.934051,26265,3283.1,-1181.5,14182.5,31.0,0.1181,99.53
370.3,2026-04-01T18:01:28.943158,26263,3282.9,-1186.2,14240.0,31.2,0.1214,99.51
380.4,2026-04-01T18:01:38.947653,26256,3282.0,-1185.0,14225.0,31.1,0.1246,99.50
390.4,2026-04-01T18:01:48.953873,26262,3282.8,-1179.5,14160.0,31.0,0.1279,99.49
400.4,2026-04-01T18:01:58.963582,26258,3282.2,-1183.3,14205.0,31.1,0.1312,99.48
410.4,2026-04-01T18:02:08.972249,26255,3281.9,-1184.0,14215.0,31.1,0.1345,99.46
420.4,2026-04-01T18:02:18.979378,26258,3282.2,-1190.0,14285.0,31.2,0.1378,99.45
430.4,2026-04-01T18:02:28.988495,26250,3281.2,-1199.8,14402.5,31.5,0.1411,99.44
440.4,2026-04-01T18:02:38.999328,26246,3280.8,-1191.0,14297.5,31.3,0.1445,99.42
450.4,2026-04-01T18:02:49.010646,26241,3280.1,-1184.8,14222.5,31.1,0.1478,99.41
460.4,2026-04-01T18:02:59.021177,26241,3280.1,-1194.0,14335.0,31.3,0.1511,99.40
470.4,2026-04-01T18:03:09.030079,26242,3280.2,-1185.0,14225.0,31.1,0.1544,99.38
480.4,2026-04-01T18:03:19.036850,26240,3280.0,-1200.2,14407.5,31.6,0.1577,99.37
490.5,2026-04-01T18:03:29.049620,26240,3280.0,-1180.2,14167.5,31.0,0.1610,99.36
500.5,2026-04-01T18:03:39.055386,26253,3281.6,-1178.5,14147.5,30.9,0.1643,99.34
510.5,2026-04-01T18:03:49.066077,26248,3281.0,-1179.3,14157.5,31.0,0.1675,99.33
520.5,2026-04-01T18:03:59.075561,26241,3280.1,-1182.8,14197.5,31.0,0.1708,99.32
530.5,2026-04-01T18:04:09.085857,26243,3280.4,-1186.8,14247.5,31.2,0.1741,99.30
540.5,2026-04-01T18:04:19.095506,26227,3278.4,-1185.5,14232.5,31.1,0.1774,99.29
550.5,2026-04-01T18:04:29.105040,26228,3278.5,-1180.5,14172.5,31.0,0.1807,99.28
560.5,2026-04-01T18:04:39.115485,26230,3278.8,-1179.5,14160.0,30.9,0.1840,99.26
570.5,2026-04-01T18:04:49.127727,26230,3278.8,-1186.5,14242.5,31.1,0.1873,99.25
580.5,2026-04-01T18:04:59.142545,26231,3278.9,-1179.8,14162.5,30.9,0.1906,99.24
590.6,2026-04-01T18:05:09.155608,26230,3278.8,-1183.3,14205.0,31.0,0.1939,99.22
600.6,2026-04-01T18:05:19.163215,26218,3277.2,-1196.0,14357.5,31.4,0.1972,99.21
610.6,2026-04-01T18:05:29.168163,26230,3278.8,-1186.5,14242.5,31.1,0.2005,99.20
620.6,2026-04-01T18:05:39.179350,26232,3279.0,-1183.0,14202.5,31.0,0.2038,99.18
630.6,2026-04-01T18:05:49.185276,26232,3279.0,-1178.8,14150.0,30.9,0.2071,99.17
640.6,2026-04-01T18:05:59.193021,26235,3279.4,-1181.5,14185.0,31.0,0.2103,99.16
650.6,2026-04-01T18:06:09.205721,26230,3278.8,-1182.2,14192.5,31.0,0.2136,99.15
660.6,2026-04-01T18:06:19.211237,26226,3278.2,-1200.8,14415.0,31.5,0.2170,99.13
670.6,2026-04-01T18:06:29.218843,26231,3278.9,-1182.2,14192.5,31.0,0.2202,99.12
680.6,2026-04-01T18:06:39.226831,26233,3279.1,-1180.2,14167.5,31.0,0.2235,99.11
690.6,2026-04-01T18:06:49.234036,26233,3279.1,-1181.8,14187.5,31.0,0.2268,99.09
700.6,2026-04-01T18:06:59.244134,26233,3279.1,-1188.0,14262.5,31.2,0.2301,99.08
710.7,2026-04-01T18:07:09.255661,26227,3278.4,-1182.2,14192.5,31.0,0.2334,99.07
720.7,2026-04-01T18:07:19.270471,26230,3278.8,-1189.2,14250.0,31.1,0.2367,99.05
730.7,2026-04-01T18:07:29.283369,26230,3278.8,-1181.5,14182.5,31.0,0.2400,99.04
740.7,2026-04-01T18:07:39.294924,26232,3279.0,-1180.2,14167.5,31.0,0.2433,99.03
750.7,2026-04-01T18:07:49.308558,26237,3279.6,-1184.0,14212.5,31.1,0.2466,99.01
760.7,2026-04-01T18:07:59.314653,26228,3278.5,-1198.8,14390.0,31.4,0.2499,99.00
770.7,2026-04-01T18:08:09.326753,26235,3279.4,-1196.5,14362.5,31.8,0.2532,98.99
780.7,2026-04-01T18:08:19.337520,26220,3277.5,-1186.5,14245.0,31.1,0.2565,98.97
790.7,2026-04-01T18:08:29.348511,26220,3277.5,-1186.5,14245.0,31.1,0.2598,98.96
800.8,2026-04-01T18:08:39.358970,26221,3277.6,-1180.0,14165.0,30.9,0.2631,98.95
810.8,2026-04-01T18:08:49.367738,26220,3277.5,-1186.5,14242.5,31.1,0.2664,98.93
820.8,2026-04-01T18:08:59.378005,26212,3276.5,-1258.5,15107.5,33.0,0.2699,98.92
830.8,2026-04-01T18:09:09.387072,26221,3277.6,-1185.2,14230.0,31.1,0.2732,98.91
840.8,2026-04-01T18:09:19.397862,26226,3278.2,-1184.2,14217.5,31.1,0.2765,98.89
850.8,2026-04-01T18:09:29.409146,26218,3277.2,-1182.2,14192.5,31.0,0.2798,98.88
860.8,2026-04-01T18:09:39.419847,26225,3278.1,-1186.5,14237.5,31.1,0.2831,98.87
870.8,2026-04-01T18:09:49.427267,26210,3276.2,-1261.5,15142.5,33.1,0.2866,98.85
880.8,2026-04-01T18:09:59.434657,26220,3277.5,-1182.8,14197.5,31.0,0.2899,98.84
890.8,2026-04-01T18:10:09.442130,26221,3277.6,-1182.0,14190.0,31.0,0.2932,98.83
900.9,2026-04-01T18:10:19.453766,26213,3276.6,-1255.2,15067.5,32.9,0.2967,98.81
910.9,2026-04-01T18:10:29.461565,26205,3275.6,-1259.5,15120.0,33.0,0.3002,98.80
920.9,2026-04-01T18:10:39.474048,26223,3277.9,-1183.8,14210.0,31.0,0.3035,98.79
930.9,2026-04-01T18:10:49.488336,26218,3277.2,-1185.5,14232.5,31.1,0.3068,98.77
940.9,2026-04-01T18:10:59.496236,26223,3277.9,-1190.5,14292.5,31.2,0.3101,98.76
950.9,2026-04-01T18:11:09.506243,26230,3278.8,-1184.5,14220.0,31.0,0.3134,98.75
960.9,2026-04-01T18:11:19.515568,26205,3275.6,-1255.5,15150.0,33.1,0.3168,98.73
970.9,2026-04-01T18:11:29.521431,26222,3277.8,-1181.5,14182.5,31.0,0.3201,98.72
980.9,2026-04-01T18:11:39.530572,26216,3277.0,-1182.8,14140.0,30.9,0.3234,98.71
990.9,2026-04-01T18:11:49.539026,26216,3277.0,-1182.8,14187.5,31.0,0.3267,98.69
1001.0,2026-04-01T18:11:59.549084,26218,3277.2,-1192.0,14210.0,31.0,0.3300,98.68
1011.0,2026-04-01T18:12:09.560266,26211,3276.4,-1185.8,14235.0,31.1,0.3333,98.67
1021.0,2026-04-01T18:12:19.569642,26210,3276.2,-1184.5,14220.0,31.0,0.3366,98.65
1031.0,2026-04-01T18:12:29.577306,26223,3277.9,-1184.0,14212.5,31.1,0.3399,98.64
1041.0,2026-04-01T18:12:39.586520,26223,3277.9,-1181.5,14182.5,31.0,0.3432,98.63
1051.0,2026-04-01T18:12:49.595659,26225,3278.1,-1199.2,14397.5,31.5,0.3465,98.61
1061.0,2026-04-01T18:12:59.610312,26218,3277.2,-1192.2,14312.5,31.3,0.3498,98.60
1071.0,2026-04-01T18:13:09.615717,26231,3278.9,-1183.5,14207.5,31.0,0.3531,98.59
1081.0,2026-04-01T18:13:19.627867,26227,3278.4,-1179.5,14160.0,30.9,0.3564,98.57
1091.0,2026-04-01T18:13:29.635291,26226,3278.2,-1181.5,14182.5,31.0,0.3597,98.56
1101.0,2026-04-01T18:13:39.648106,26227,3278.4,-1183.0,14202.5,31.0,0.3630,98.55
1111.1,2026-04-01T18:13:49.657296,26226,3278.2,-1200.2,14407.5,31.5,0.3663,98.53
1121.1,2026-04-01T18:13:59.671683,26222,3277.8,-1182.8,14200.0,31.0,0.3696,98.52
1131.1,2026-04-01T18:14:09.677753,26225,3278.1,-1181.8,14187.5,31.0,0.3729,98.51
1141.1,2026-04-01T18:14:19.691544,26227,3278.4,-1184.5,14220.0,31.1,0.3762,98.50
1151.1,2026-04-01T18:14:29.698535,26226,3278.2,-1181.3,14180.0,31.0,0.3795,98.48
1161.1,2026-04-01T18:14:39.708274,26232,3279.0,-1183.3,14205.0,31.0,0.3828,98.47
1171.1,2026-04-01T18:14:49.718488,26212,3276.5,-1199.0,14392.5,31.4,0.3861,98.46
1181.1,2026-04-01T18:14:59.729813,26225,3278.1,-1182.8,14175.0,31.0,0.3894,98.44
1191.1,2026-04-01T18:15:09.739549,26223,3277.9,-1191.2,14300.0,31.2,0.3927,98.43
1201.2,2026-04-01T18:15:19.750580,26226,3278.2,-1182.8,14200.0,31.0,0.3960,98.42
1211.2,2026-04-01T18:15:29.764900,26223,3277.9,-1180.8,14175.0,31.0,0.3993,98.40
1221.2,2026-04-01T18:15:39.777571,26227,3278.4,-1178.8,14150.0,30.9,0.4025,98.39
1231.2,2026-04-01T18:15:49.786514,26221,3277.6,-1185.0,14225.0,31.1,0.4058,98.38
1241.2,2026-04-01T18:15:59.795179,26222,3277.8,-1185.8,14235.0,31.1,0.4091,98.36
1251.2,2026-04-01T18:16:09.801221,26217,3277.1,-1190.5,14292.5,31.2,0.4125,98.35
1261.2,2026-04-01T18:16:19.815593,26217,3277.1,-1182.2,14192.5,31.0,0.4157,98.34
1271.2,2026-04-01T18:16:29.821557,26223,3277.9,-1184.0,14215.0,31.1,0.4190,98.32
1281.2,2026-04-01T18:16:39.832775,26226,3278.2,-1184.8,14222.5,31.1,0.4223,98.31
1291.3,2026-04-01T18:16:49.846569,26223,3277.9,-1184.0,14212.5,31.0,0.4256,98.30
1301.3,2026-04-01T18:16:59.856658,26223,3277.9,-1188.8,14270.0,31.2,0.4289,98.28
1311.3,2026-04-01T18:17:09.865202,26225,3278.1,-1189.0,14272.5,31.2,0.4322,98.27
1321.3,2026-04-01T18:17:19.878737,26230,3278.8,-1182.2,14285.0,31.2,0.4355,98.26
1331.3,2026-04-01T18:17:29.895842,26221,3277.6,-1184.0,14212.5,31.0,0.4388,98.24
1341.3,2026-04-01T18:17:39.912358,26218,3277.2,-1196.5,14362.5,31.4,0.4421,98.23
1351.3,2026-04-01T18:17:49.928750,26216,3277.0,-1189.2,14277.5,31.2,0.4454,98.22
1361.3,2026-04-01T18:17:59.936979,26222,3277.8,-1180.0,14165.0,30.9,0.4487,98.21
1371.3,2026-04-01T18:18:09.944735,26217,3277.1,-1186.2,14240.0,31.1,0.4520,98.19
1381.4,2026-04-01T18:18:19.959408,26223,3277.9,-1180.0,14165.0,30.9,0.4553,98.18
1391.4,2026-04-01T18:18:29.971092,26217,3277.1,-1187.8,14257.5,31.1,0.4586,98.17
1401.4,2026-04-01T18:18:39.982107,26231,3278.9,-1184.2,14342.5,31.3,0.4619,98.15
1411.4,2026-04-01T18:18:49.989833,26228,3278.5,-1185.0,14327.5,31.3,0.4652,98.14
1421.4,2026-04-01T18:19:00.002477,26235,3279.4,-1184.5,14220.0,31.1,0.4685,98.13
1431.4,2026-04-01T18:19:10.015022,26236,3279.5,-1193.0,14322.5,31.3,0.4718,98.11
1441.4,2026-04-01T18:19:20.023734,26232,3279.0,-1190.5,14292.5,31.2,0.4751,98.10
1451.4,2026-04-01T18:19:30.040201,26233,3279.1,-1192.5,14315.0,31.3,0.4784,98.09
1461.5,2026-04-01T18:19:40.056252,26235,3279.4,-1182.2,14192.5,31.0,0.4817,98.07
1471.5,2026-04-01T18:19:50.072715,26236,3279.5,-1184.0,14212.5,31.1,0.4850,98.06
1481.5,2026-04-01T18:20:00.083292,26232,3279.0,-1187.0,14250.0,31.1,0.4883,98.05
1491.5,2026-04-01T18:20:10.101122,26238,3279.8,-1187.5,14255.0,31.2,0.4916,98.03
1501.5,2026-04-01T18:20:20.107845,26240,3280.0,-1190.0,14285.0,31.2,0.4949,98.02
1511.5,2026-04-01T18:20:30.124075,26238,3279.8,-1183.8,14210.0,31.1,0.4982,98.01
1521.5,2026-04-01T18:20:40.136241,26238,3279.8,-1181.5,14185.0,31.0,0.5015,97.99
1531.6,2026-04-01T18:20:50.151081,26237,3279.6,-1181.5,14185.0,31.0,0.5048,97.98
1541.6,2026-04-01T18:21:00.156441,26237,3279.6,-1188.0,14262.5,31.2,0.5081,97.97
1551.6,2026-04-01T18:21:10.165561,26232,3279.0,-1187.0,14250.0,31.1,0.5114,97.95
1561.6,2026-04-01T18:21:20.179075,26243,3280.4,-1184.5,14220.0,31.1,0.5147,97.94
1571.6,2026-04-01T18:21:30.188326,26241,3280.1,-1184.0,14215.0,31.1,0.5180,97.93
1581.6,2026-04-01T18:21:40.200510,26240,3280.0,-1182.5,14195.0,31.0,0.5213,97.91
1591.6,2026-04-01T18:21:50.205063,26238,3279.8,-1186.5,14245.0,31.1,0.5246,97.90
1601.6,2026-04-01T18:22:00.218028,26242,3280.2,-1185.8,14235.0,31.1,0.5279,97.89
1611.6,2026-04-01T18:22:10.227262,26235,3279.4,-1182.5,14195.0,31.0,0.5312,97.88
1621.6,2026-04-01T18:22:20.241660,26237,3279.6,-1200.2,14407.5,31.5,0.5345,97.86
1631.7,2026-04-01T18:22:30.250497,26236,3279.5,-1202.8,14440.0,31.6,0.5378,97.85
1641.7,2026-04-01T18:22:40.262577,26241,3280.1,-1196.5,14365.0,31.4,0.5412,97.84
1651.7,2026-04-01T18:22:50.271819,26245,3280.6,-1182.8,14200.0,31.0,0.5445,97.82
1661.7,2026-04-01T18:23:00.285114,26240,3280.0,-1196.5,14362.5,31.4,0.5478,97.81
1671.7,2026-04-01T18:23:10.293779,26245,3280.6,-1187.2,14252.5,31.2,0.5511,97.80
1681.7,2026-04-01T18:23:20.302661,26243,3280.4,-1183.5,14207.5,31.0,0.5544,97.78
1691.7,2026-04-01T18:23:30.308783,26245,3280.6,-1180.0,14165.0,31.0,0.5577,97.77
1701.7,2026-04-01T18:23:40.321594,26240,3280.0,-1190.8,14262.5,31.2,0.5610,97.76
1711.7,2026-04-01T18:23:50.333438,26237,3279.6,-1197.5,14375.0,31.4,0.5643,97.74
1721.7,2026-04-01T18:24:00.347316,26247,3280.9,-1182.8,14200.0,31.0,0.5676,97.73
1731.8,2026-04-01T18:24:10.356508,26241,3280.1,-1184.2,14217.5,31.1,0.5709,97.72
1741.8,2026-04-01T18:24:20.367126,26243,3280.4,-1186.0,14237.5,31.1,0.5742,97.70
1751.8,2026-04-01T18:24:30.376015,26245,3280.6,-1182.8,14200.0,31.0,0.5775,97.69
1761.8,2026-04-01T18:24:40.386984,26240,3280.0,-1182.0,14185.0,31.0,0.5808,97.68
1771.8,2026-04-01T18:24:50.399092,26245,3280.6,-1179.3,14157.5,31.0,0.5840,97.66
1781.8,2026-04-01T18:25:00.408803,26236,3279.5,-1186.8,14247.5,31.1,0.5873,97.65
1791.8,2026-04-01T18:25:10.419005,26233,3279.1,-1199.2,14397.5,31.5,0.5907,97.64
1801.8,2026-04-01T18:25:20.431125,26242,3280.2,-1189.5,14280.0,31.2,0.5940,97.62
1811.8,2026-04-01T18:25:30.442215,26251,3281.4,-1182.8,14197.5,31.1,0.5973,97.61
1821.9,2026-04-01T18:25:40.451736,26237,3279.6,-1199.8,14402.5,31.5,0.6006,97.60
1831.9,2026-04-01T18:25:50.459905,26245,3280.6,-1180.2,14170.0,31.0,0.6039,97.58
1841.9,2026-04-01T18:26:00.467576,26243,3280.4,-1185.8,14235.0,31.1,0.6072,97.57
1851.9,2026-04-01T18:26:10.477094,26242,3280.2,-1184.0,14212.5,31.1,0.6105,97.56
1861.9,2026-04-01T18:26:20.486099,26242,3280.2,-1184.8,14222.5,31.1,0.6138,97.54
1871.9,2026-04-01T18:26:30.499145,26247,3280.9,-1183.5,14207.5,31.1,0.6171,97.53
1881.9,2026-04-01T18:26:40.508293,26243,3280.4,-1181.8,14187.5,31.0,0.6203,97.52
1891.9,2026-04-01T18:26:50.518394,26245,3280.6,-1181.5,14185.0,31.0,0.6236,97.51
1901.9,2026-04-01T18:27:00.524229,26238,3279.8,-1182.5,14195.0,31.0,0.6269,97.49
1911.9,2026-04-01T18:27:10.534111,26245,3280.6,-1184.5,14220.0,31.1,0.6302,97.48
1921.9,2026-04-01T18:27:20.542032,26243,3280.4,-1196.8,14367.5,31.4,0.6335,97.47
1932.0,2026-04-01T18:27:30.550730,26245,3280.6,-1188.2,14265.0,31.2,0.6368,97.45
1942.0,2026-04-01T18:27:40.565200,26242,3280.2,-1181.5,14185.0,31.0,0.6401,97.44
1952.0,2026-04-01T18:27:50.573697,26242,3280.2,-1188.0,14262.5,31.2,0.6434,97.43
1962.0,2026-04-01T18:28:00.583654,26236,3279.5,-1205.2,14510.0,31.7,0.6468,97.41
1972.0,2026-04-01T18:28:10.594639,26241,3280.1,-1184.5,14220.0,31.1,0.6501,97.40
1982.0,2026-04-01T18:28:20.602734,26247,3280.9,-1186.0,14237.5,31.1,0.6534,97.39
1992.0,2026-04-01T18:28:30.610878,26240,3280.0,-1191.5,14305.0,31.3,0.6567,97.37
2002.0,2026-04-01T18:28:40.621916,26242,3280.2,-1178.8,14150.0,30.9,0.6600,97.36
2012.0,2026-04-01T18:28:50.627725,26241,3280.1,-1177.8,14140.0,30.9,0.6632,97.35
2022.0,2026-04-01T18:29:00.639522,26243,3280.4,-1180.2,14170.0,31.0,0.6665,97.33
2032.1,2026-04-01T18:29:10.645623,26245,3280.6,-1187.5,14255.0,31.2,0.6698,97.32
2042.1,2026-04-01T18:29:20.654865,26240,3280.0,-1183.5,14207.5,31.1,0.6731,97.31
2052.1,2026-04-01T18:29:30.666144,26241,3280.1,-1188.5,14267.5,31.2,0.6764,97.29
2062.1,2026-04-01T18:29:40.675290,26245,3280.6,-1179.8,14162.5,31.0,0.6797,97.28
2072.1,2026-04-01T18:29:50.686612,26241,3280.1,-1184.0,14215.0,31.1,0.6830,97.27
2082.1,2026-04-01T18:30:00.698708,26246,3280.8,-1183.3,14205.0,31.0,0.6863,97.25
2092.1,2026-04-01T18:30:10.711046,26242,3280.2,-1180.8,14175.0,31.0,0.6896,97.24
2102.1,2026-04-01T18:30:20.723287,26243,3280.4,-1182.8,14197.5,31.0,0.6929,97.23
2112.1,2026-04-01T18:30:30.733057,26245,3280.6,-1183.8,14210.0,31.1,0.6961,97.22
2122.1,2026-04-01T18:30:40.740912,26248,3281.0,-1180.8,14175.0,31.0,0.6994,97.20
2132.2,2026-04-01T18:30:50.750502,26237,3279.6,-1192.0,14310.0,31.3,0.7027,97.19
2142.2,2026-04-01T18:31:00.762111,26243,3280.4,-1186.8,14247.5,31.2,0.7060,97.18
2152.2,2026-04-01T18:31:10.772488,26246,3280.8,-1185.5,14232.5,31.1,0.7093,97.16
2162.2,2026-04-01T18:31:20.780634,26245,3280.6,-1184.8,14222.5,31.3,0.7126,97.15
2172.2,2026-04-01T18:31:30.790754,26246,3280.8,-1182.2,14235.0,31.1,0.7159,97.14
2182.2,2026-04-01T18:31:40.799864,26237,3279.6,-1196.0,14157.5,31.0,0.7192,97.12
2192.2,2026-04-01T18:31:50.809367,26237,3279.6,-1181.5,14182.5,31.0,0.7225,97.11
2202.2,2026-04-01T18:32:00.817177,26247,3280.9,-1183.5,14207.5,31.1,0.7258,97.10
2212.2,2026-04-01T18:32:10.828166,26243,3280.4,-1199.2,14397.5,31.5,0.7292,97.08
2222.2,2026-04-01T18:32:20.837093,26245,3280.6,-1187.8,14257.5,31.2,0.7325,97.07
2232.3,2026-04-01T18:32:30.852278,26245,3280.6,-1184.0,14212.5,31.1,0.7358,97.06
2242.3,2026-04-01T18:32:40.865041,26242,3280.2,-1179.3,14157.5,31.2,0.7390,97.04
2252.3,2026-04-01T18:32:50.874599,26245,3280.6,-1182.0,14190.0,31.0,0.7423,97.03
2262.3,2026-04-01T18:33:00.887285,26241,3280.1,-1196.8,14367.5,31.4,0.7456,97.02
2272.3,2026-04-01T18:33:10.900887,26245,3280.6,-1181.3,14180.0,31.0,0.7489,97.00
2282.3,2026-04-01T18:33:20.910570,26242,3280.2,-1186.5,14242.5,31.1,0.7522,96.99
2292.3,2026-04-01T18:33:30.926172,26245,3280.6,-1185.2,14230.0,31.1,0.7555,96.98
2302.3,2026-04-01T18:33:40.945059,26242,3280.2,-1195.8,14355.0,31.4,0.7589,96.96
2312.4,2026-04-01T18:33:50.954511,26242,3280.2,-1184.0,14215.0,31.1,0.7621,96.95
2322.4,2026-04-01T18:34:00.966144,26243,3280.4,-1183.3,14205.0,31.1,0.7654,96.94
2332.4,2026-04-01T18:34:10.980272,26241,3280.1,-1192.5,14315.0,31.3,0.7688,96.92
2342.4,2026-04-01T18:34:20.988711,26242,3280.2,-1191.2,14300.0,31.3,0.7721,96.91
2352.4,2026-04-01T18:34:31.002645,26245,3280.6,-1191.5,14305.0,31.3,0.7754,96.90
2362.4,2026-04-01T18:34:41.021535,26241,3280.1,-1192.8,14317.5,31.1,0.7787,96.89
2372.4,2026-04-01T18:34:51.032000,26247,3280.9,-1181.8,14187.5,31.0,0.7820,96.87
2382.4,2026-04-01T18:35:01.036721,26243,3280.4,-1184.0,14215.0,31.1,0.7853,96.86
2392.5,2026-04-01T18:35:11.049182,26241,3280.1,-1184.0,14215.0,31.1,0.7886,96.85
2402.5,2026-04-01T18:35:21.059840,26246,3280.8,-1182.8,14200.0,31.0,0.7919,96.83
2412.5,2026-04-01T18:35:31.069129,26242,3280.2,-1190.5,14292.5,31.2,0.7952,96.82
2422.5,2026-04-01T18:35:41.085211,26245,3280.6,-1181.3,14180.0,31.0,0.7985,96.81
2432.5,2026-04-01T18:35:51.099340,26242,3280.2,-1182.2,14192.5,31.0,0.8017,96.79
2442.5,2026-04-01T18:36:01.116230,26242,3280.2,-1182.8,14200.0,31.0,0.8050,96.78
2452.5,2026-04-01T18:36:11.131535,26243,3280.4,-1181.5,14217.5,31.1,0.8083,96.77
2462.5,2026-04-01T18:36:21.141937,26238,3279.8,-1194.2,14337.5,31.3,0.8116,96.75
2472.6,2026-04-01T18:36:31.149857,26238,3279.8,-1196.8,14367.5,31.4,0.8150,96.74
2482.6,2026-04-01T18:36:41.160236,26243,3280.4,-1182.2,14192.5,31.0,0.8183,96.73
2492.6,2026-04-01T18:36:51.165092,26242,3280.2,-1181.5,14185.0,31.0,0.8215,96.71
2502.6,2026-04-01T18:37:01.172930,26238,3279.8,-1193.5,14327.5,31.3,0.8249,96.70
2512.6,2026-04-01T18:37:11.182019,26243,3280.4,-1202.2,14432.5,31.5,0.8282,96.69
2522.6,2026-04-01T18:37:21.189950,26242,3280.2,-1186.8,14247.5,31.1,0.8315,96.67
2532.6,2026-04-01T18:37:31.201985,26247,3280.9,-1180.5,14172.5,31.0,0.8348,96.66
2542.6,2026-04-01T18:37:41.210883,26245,3280.6,-1186.5,14245.0,31.1,0.8381,96.65
2552.6,2026-04-01T18:37:51.222523,26240,3280.0,-1185.8,14235.0,31.1,0.8414,96.63
2562.6,2026-04-01T18:38:01.230439,26242,3280.2,-1193.0,14322.5,31.3,0.8447,96.62
2572.6,2026-04-01T18:38:11.239011,26243,3280.4,-1183.3,14205.0,31.1,0.8480,96.61
2582.7,2026-04-01T18:38:21.249269,26246,3280.8,-1180.5,14172.5,31.0,0.8513,96.59
2592.7,2026-04-01T18:38:31.258542,26243,3280.4,-1181.5,14182.5,31.0,0.8546,96.58
2602.7,2026-04-01T18:38:41.268913,26240,3280.0,-1185.5,14200.0,31.1,0.8579,96.57
2612.7,2026-04-01T18:38:51.277350,26243,3280.4,-1189.0,14275.0,31.2,0.8612,96.56
2622.7,2026-04-01T18:39:01.287081,26242,3280.2,-1185.2,14227.5,31.1,0.8645,96.54
2632.7,2026-04-01T18:39:11.300039,26243,3280.4,-1182.5,14195.0,31.0,0.8677,96.53
